;Lycopodiophyta;Pteridophyta;Gymnospermae;Angiospermae;Magnoliopsida;Liliopsida;Woody;Herbal;Tree;Shrub;Small_shrub;Semi-shrub;Liana;Prostrate;Perennial;Annual-biennal
Populus.tremula;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.arctica;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.bebbiana;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.caprea;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.chamissonis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.fuscescens;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.gilgiana;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.gracilistyla;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.hidaka-montana;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Salix.integra;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.ketoiensis;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Salix.kurilensis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.nakamurana;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.parallelinervis;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0
Salix.polaris;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Salix.pseudopentandra;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.reinii;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.taraikensis;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.udensis;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.urbaniana;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Salix.vulpina;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Salix.yezoensis;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Actinidia.arguta;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Actinidia.kolomikta;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Actinidia.polygama;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Andromeda.polifolia;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Arctous.alpina;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Bryanthus.musciformis;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0
Cassiope.lycopodioides;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0
Chamaedaphne.calyculata;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Chimaphila.japonica;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Elliottia.bracteata;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Empetrum.albidum;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Empetrum.sibiricum;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Empetrum.stenopetalum;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Eubotryoides.grayana;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Gaultheria.pyroloides;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Harrimanella.stelleriana;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0
Kalmia.procumbens;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0
Ledum.decumbens;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Ledum.maximum;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Ledum.palustriforme;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0
Menziesia.pentandra;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Moneses.uniflora;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Monotropa.hypopitys;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Monotropa.uniflora;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Monotropastrum.humile;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Orthilia.secunda;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Oxycoccus.microcarpus;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Oxycoccus.palustris;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Phyllodoce.aleutica;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;0
Phyllodoce.caerulea;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Pieris.nana;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Pyrola.alpina;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.faurieana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.minor;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.nephrophylla;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.renifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.rotundifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pyrola.subaphylla;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rhododendron.aureum;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0
Rhododendron.brachycarpum;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0
Rhododendron.camtschaticum;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Rhododendron.tschonoskii;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Vaccinium.hirtum;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;0
Vaccinium.ovalifolium;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Vaccinium.praestans;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Vaccinium.smallii;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Vaccinium.uliginosum;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Vaccinium.vitis-idaea;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Vaccinium.vulcanorum;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0
Diapensia.obovata;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Androsace.lehmanniana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cortusa.sachalinensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Glaux.maritima;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lysimachia.davurica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lysimachia.thyrsiflora;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Primula.cuneifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Primula.fauriei;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Primula.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Primula.matsumurae;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Primula.nutans;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Primula.tschuktschorum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Trientalis.europaea;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Tilia.maximowicziana;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Euphorbia.sieboldiana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Daphne.jezoensis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Hydrangea.paniculata;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Hydrangea.petiolaris;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Schizophragma.hydrangeoides;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Astilbe.thunbergii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chrysosplenium.flagelliferum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chrysosplenium.grayanum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chrysosplenium.kamtschaticum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chrysosplenium.ramosum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chrysosplenium.sibiricum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.fusca;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.insularis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.merkii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.nelsoniana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.porsildiana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.purpurascens;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Micranthes.sachalinensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Saxifraga.bracteata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Saxifraga.cherlerioides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Saxifraga.fortunei;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Saxifraga.funstonii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Saxifraga.hyperborea;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Saxifraga.rebunshirensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Crassula.aquatica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Hylotelephium.erythrostictum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Hylotelephium.telephium;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Hylotelephium.verticillatum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Orostachys.boehmeri;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Phedimus.aizoon;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Phedimus.kurilensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rhodiola.integrifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rhodiola.ishidae;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rhodiola.sachalinensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ribes.latifolium;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Ribes.sachalinense;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Drosera.anglica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Drosera.rotundifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Agrimonia.viscidula;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aruncus.dioicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Comarum.palustre;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Crataegus.chlorosarca;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Dasiphora.fruticosa;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Dryas.ajanensis;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
Filipendula.camtschatica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Filipendula.glaberrima;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Fragaria.iinumae;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Fragaria.yezoensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Geum.aleppicum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Geum.fauriei;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Malus.mandshurica;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Micromeles.alnifolia;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Padus.ssiori;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Parageum.calthifolium;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Porentilla.dickinsii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.cryptotaeniae;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.egedii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.fragarioides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.matsumurae;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.megalantha;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.nivea;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.stolonifera;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Potentilla.vulcanicola;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Prunus.maximowiczii;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Prunus.nipponica;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0
Prunus.sargentii;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Rosa.acicularis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Rosa.amblyotis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Rosa.rugosa;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Rubus.arcticus;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Rubus.chamaemorus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rubus.mesogaeus;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Rubus.parvifolius;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Rubus.pedatus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rubus.phoenicolasius;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rubus.pseudochamaemorus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rubus.pseudojaponicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rubus.sachalinensis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Rubus.stellatus;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0
Sanguisorba.officinalis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sanguisorba.stipulata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sanguisorba.tenuifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sibbaldia.miyabei;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sibbaldia.procumbens;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sieversia.pentapetala;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Sorbaria.sorbifolia;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Sorbus.commixta;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Sorbus.sambucifolia;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Spiraea.beauverdiana;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Spiraea.betulifolia;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Spiraea.media;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Spiraea.salicifolia;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Waldsteinia.ternata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Amphicarpaea.edgeworthii;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Astragalus.alpinus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Astragalus.frigidus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Astragalus.japonicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Astragalus.kawakamii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Hedysarum.austrokurilense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Hedysarum.nonnae;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lathyrus.humilis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lathyrus.japonicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lathyrus.pilosus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lespedeza.bicolor;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Oxytropis.exserta;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxytropis.itoana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxytropis.megalantha;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxytropis.pumilio;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxytropis.retusa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxytropis.revoluta;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxytropis.rishiriensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thermopsis.lanceolata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Trifolium.pacificum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Vicia.amoena;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Vicia.cracca;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Vicia.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Vicia.nipponica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Vicia.unijuga;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Lythrum.salicaria;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chamaenerion.angustifolium;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chamaenerion.latifolium;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Circaea.alpina;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Circaea.cordata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.amurense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.anagallidifolium;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.behringianum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.cephalostigma;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.ciliatum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.fastigiatoramosum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.fauriei;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.glandulosum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.hornemannii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.montanum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.palustre;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Epilobium.pyrrhicholophum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Myriophyllum.sibiricum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Myriophyllum.spicatum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Phellodendron.sachalinense;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Skimmia.japonica;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Toxicodendron.orientale;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Toxicodendron.trichocarpum;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Acer.japonicum;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Acer.mayrii;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Acer.tschonoskii;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Acer.ukurunduense;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0
Oxalis.acetosella;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Geranium.erianthum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Geranium.thunbergii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Geranium.yesoense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Impatiens.noli-tangere;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Chamaepericlymenum.canadense;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Chamaepericlymenum.suecicum;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
Cornus.controversa;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Aralia.cordata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aralia.elata;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Kalopanax.septemlobus;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Aegopodium.alpestre;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Angelica.anomala;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Angelica.genuflexa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Angelica.gmelinii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Angelica.ursina;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anthriscus.sylvestris;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Bupleurum.longiradiatum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Bupleurum.shikotanense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Bupleurum.triradiatum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cicuta.virosa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Conioselinum.chinense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Conioselinum.filicinum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cryptotaenia.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Glehnia.littoralis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Heracleum.maximum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Hydrocotyle.ramiflora;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Kitagawia.terebinthacea;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ligusticum.scothicum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oenanthe.javanica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Osmorhiza.aristata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pleurospermum.uralense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sanicula.chinensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sesli.ugoense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sium.suave;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Tilingia.ajanensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Torilis.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Ilex.crenata;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Ilex.rugosa;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Ilex.sugerokii;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Celastrus.orbiculatus;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Euonymus.alatus;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Euonymus.hamiltonianus;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Euonymus.macropterus;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0
Euonymus.oxyphyllus;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Euonymus.planipes;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0
Euonymus.sachalinensis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Parnassia.palustris;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thesium.refractum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ampelopsis.heterophylla;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Vitis.coignetiae;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Galium.boreale;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.kamtschaticum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.lacteum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.nakaii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.odoratum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.pseudoasprellum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.spurium;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1
Galium.trifidum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.trifloriforme;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.triflorum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Galium.verum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Mitchella.undulata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Rubia.jesoensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cynanchum.maximoviczii;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Cynanchum.rostellatum;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Gentiana.axillariflora;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Gentiana.glauca;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Gentiana.jamesii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Gentiana.zollingeri;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Gentianella.auriculata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Halenia.corniculata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Pterygocalyx.volubilis;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Swertia.obtusa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Swertia.tetrapetala;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Tripterospermum.japonicum;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Menyanthes.trifoliata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Nephrophyllidium.crista-galli;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Fraxinus.lanuginosa;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Fraxinus.mandshurica;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Ligustrum.tschonoskii;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Syringa.reticulata;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Linnaea.borealis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Lonicera.caerulea;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Lonicera.chamissoi;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Lonicera.chrysantha;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Lonicera.glehnii;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Lonicera.sachalinensis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
