;Atlasova;Shumshu;Paramushir;Antciferova;Makanrushi;Onekotan;Kharimkotan;Chirinkotan;Ekarma;Shiashkotan;Raykoke;Matua;Rashua;Ushishir;Ketoy;Simushir;Broutona;Chirpoy;Brat.Chirpoev;Urup;Iturup;Kunashir;Shikotan;Polonskogo;Zeleny;Tanfileva;Yuriy;Demina;Storozhevoy;Anuchina
Duschekia.maximowiczii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
Myrica.gale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0
Juglans.ailantifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Arenaria.merckioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Cerastium.aleuticum;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium.beeringianum;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium.fischerianum;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0
Cerastium.tatewakii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cerastium.unalaschkense;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
Cherleria.barkalovii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Cucubalus.japonicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Dianthus.superbus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;0;1
Gastrolychnis.attenuata;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Honckenya.oblongifolia;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1
Moehringia.lateriflora;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0
Pseudocherleria.kurilensis;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sagina.crassicaulis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1
Sagina.japonica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Sagina.maxima;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sagina.nivalis;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sagina.saginoides;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Silene.repens;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Spergularia.marina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Stellaria.alsine;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Stellaria.bungeana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Stellaria.calycantha;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Stellaria.crassifolia;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stellaria.eschscholtziana;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stellaria.fenzlii;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0
Stellaria.humifusa;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Stellaria.longifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
Stellaria.radians;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1
Stellaria.ruscifolia;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
Atriplex.gmelinii;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atriplex.laevis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0
Atriplex.subcordata;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1
Oxybasis.glauca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Salicornia.perennans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Salsola.komarovii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1
Montia.fontana;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Aconogonon.ajanense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Aconogonon.pseudoajanense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Aconogonon.savatieri;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Aconogonon.weyrichii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bistorta.vivipara;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Fallopia.dumetorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Koenigia.islandica;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oxyria.digyna;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0
Persicaria.amphibia;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Persicaria.extremiorientalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Persicaria.filiformis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Persicaria.hydropiper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Persicaria.lapathifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Persicaria.longiseta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Persicaria.nepalensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Persicaria.posumbu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Persicaria.sagittata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0
Persicaria.thunbergii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1
Polygonum.arenastrum;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Polygonum.aviculare;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1
Polygonum.boreale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Polygonum.polyneuron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Reynoutria.sachalinensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Rumex.aquaticus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Rumex.arcticus;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex.crispus;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0
Rumex.gmelinii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0
Rumex.japonicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0
Rumex.lapponicus;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Rumex.longifolius;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;1;0;0;0
Armeria.scabra;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paeonia.obovata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Paeonia.oreogeton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Hypericum.erectum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0
Hypericum.gebleri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0
Hypericum.japonicum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Hypericum.kamtschaticum;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0
Hypericum.yezoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Triadenum.japonicum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Viola.acuminata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Viola.biflora;1;1;1;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0
Viola.brevistipulata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Viola.collina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Viola.crassa;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
Viola.epipsiloides;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola.grypoceras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Viola.hamiltoniana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Viola.hultenii;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Viola.kamtschadalorum;0;1;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Viola.kitamiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Viola.kusanoana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Viola.langsdorfii;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Viola.mandshurica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Viola.patrinii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0
Viola.phalacrocarpa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Viola.sacchalinensis;1;1;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0
Viola.selkirkii;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
Viola.vorobievii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Gynostemma.pentaphylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Schizopepon.bryoniifolius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Arabidopsis.kamchatica;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
Arabidopsis.petraea;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arabis.hirsuta;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Arabis.serrata;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0
Arabis.stelleri;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0
Barbarea.orthoceras;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0
Cardamine.bellidifolia;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine.impatiens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Cardamine.leucantha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cardamine.macrophylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cardamine.pratensis;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Cardamine.schinziana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cardamine.scutata;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0
Cardamine.umbellata;1;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Cardamine.valida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Catolobus.pendulus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cochlearia.groenlandica;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1
Draba.borealis;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1
Draba.grandis;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Draba.hirta;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erysimum.cheranthoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Eutrema.japonicum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Isatis.tinctoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Parrya.nudicaulis;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Rorippa.palustris;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0
Subularia.aquatica;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Populus.sieboldii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Populus.suaveolens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Populus.tremula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0
Salix.arctica;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix.bebbiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Salix.caprea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0
Salix.chamissonis;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix.fuscescens;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Salix.gilgiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
Salix.gracilistyla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Salix.hidaka-montana;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0
Salix.integra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Salix.ketoiensis;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
Salix.kurilensis;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Salix.nakamurana;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0
Salix.parallelinervis;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix.polaris;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix.pseudopentandra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Salix.reinii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Salix.taraikensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Salix.udensis;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0
Salix.urbaniana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Salix.vulpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Salix.yezoensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
Actinidia.arguta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Actinidia.kolomikta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0
Actinidia.polygama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Andromeda.polifolia;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Arctous.alpina;0;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Bryanthus.musciformis;0;1;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Cassiope.lycopodioides;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Chamaedaphne.calyculata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
Chimaphila.japonica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Elliottia.bracteata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Empetrum.albidum;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0
Empetrum.sibiricum;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0
Empetrum.stenopetalum;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eubotryoides.grayana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Gaultheria.pyroloides;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0
Harrimanella.stelleriana;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Kalmia.procumbens;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Ledum.decumbens;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Ledum.maximum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0
Ledum.palustriforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
Menziesia.pentandra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Moneses.uniflora;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monotropa.hypopitys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Monotropa.uniflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Monotropastrum.humile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Orthilia.secunda;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
Oxycoccus.microcarpus;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0
Oxycoccus.palustris;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0
Phyllodoce.aleutica;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0
Phyllodoce.caerulea;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Pieris.nana;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Pyrola.alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Pyrola.faurieana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Pyrola.japonica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Pyrola.minor;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Pyrola.nephrophylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Pyrola.renifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Pyrola.rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Pyrola.subaphylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Rhododendron.aureum;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Rhododendron.brachycarpum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Rhododendron.camtschaticum;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
Rhododendron.tschonoskii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Vaccinium.hirtum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
