1.2929	-11.9472	141.69
1.3105	-12.3431	141.406
1.314	-12.3657	141.428
1.3153	-11.9253	141.271
1.317	-12.3492	141.398
1.3193	-12.2977	141.615
1.3204	-12.3394	141.395
1.3217	-12.3589	141.437
1.3227	-12.3622	141.478
1.3232	-12.3556	141.436
1.3238	-12.349	141.439
1.3246	-12.3459	141.394
1.325	-11.9258	141.267
1.3257	-12.3555	141.433
1.3263	-12.3392	141.442
1.3267	-12.3425	141.491
1.3274	-12.352	141.429
1.3278	-12.3425	141.432
1.3285	-12.3488	141.384
1.3292	-12.3328	141.451
1.3303	-11.9292	141.263
1.3316	-12.3487	141.387
1.3323	-12.3326	141.445
1.3336	-12.3487	141.48
1.3348	-12.3584	141.46
1.3366	-11.9587	141.708
1.3375	-12.2306	141.779
1.3389	-12.3516	141.486
1.3406	-12.3775	141.434
1.3413	-12.3515	141.466
1.3425	-12.3452	141.462
1.344	-12.2305	141.774
1.3466	-12.3385	141.478
1.3477	-12.297	141.679
1.3492	-12.2336	141.776
1.3511	-12.3449	141.455
1.3531	-12.3319	141.467
1.3542	-12.3	141.651
1.3554	-12.2741	141.638
1.3567	-12.2967	141.745
1.3578	-12.2303	141.765
1.3592	-12.2708	141.64
1.3597	-12.2582	141.768
1.3607	-12.3797	141.424
1.3615	-11.9597	141.693
1.3623	-12.274	141.757
1.3628	-12.3029	141.751
1.3634	-12.2739	141.754
1.3641	-12.2242	141.783
1.3649	-12.2868	141.75
1.3653	-12.2868	141.783
1.3656	-12.2677	141.786
1.3659	-12.2739	141.75
1.3665	-12.3092	141.753
1.3671	-12.2518	141.766
1.3676	-11.9599	141.689
1.3681	-12.2804	141.645
1.3689	-12.2835	141.743
1.3697	-12.3376	141.471
1.3705	-12.2738	141.746
1.3713	-12.2271	141.762
1.3722	-12.2643	141.719
1.3727	-12.2736	141.641
1.3735	-12.2771	141.67
1.374	-12.2643	141.738
1.3745	-11.9729	141.632
1.375	-12.2517	141.771
1.3755	-12.2643	141.79
1.3758	-12.2929	141.761
1.3764	-12.3025	141.767
1.3766	-12.2643	141.797
1.377	-12.2705	141.787
1.3775	-12.3885	141.406
1.3779	-12.2674	141.685
1.3782	-12.3884	141.396
1.3785	-12.3056	141.767
