815,,1014,,667,,734,,682,,926,,918,,1114,,730,,802,
186,320,194,373,160,249,170,302,173,260,217,388,168,316,279,407,222,328,204,329
161,160,180,"186,5",151,"124,5",156,151,160,130,175,194,134,158,271,"203,5",157,164,179,"164,5"
138,299,181,361,116,267,140,296,117,277,199,374,167,301,163,434,125,282,154,333
134,"149,5",179,"180,5",89,"133,5",132,148,87,"138,5",171,187,145,"150,5",128,217,106,141,125,"166,5"
196,,280,,151,,136,,145,,164,,304,,273,,120,,140,
163,,"202,8",,"133,4",,"146,8",,"136,4",,"185,2",,"183,6",,"222,8",,146,,"160,4",
