year,month,Prec,Tmin,Tmax,PDSI
1968,8,144.8,12.69,18.07,-1.92
1968,9,110.1,9.4,16.05,-1.34
1968,10,41.8,2.29,9.56,-2.05
1968,11,99.8,-0.61,5.78,-1.21
1968,12,31.5,-7.19,-0.2,-1.76
1969,1,43.2,-15.5,-9.08,-1.7
1969,2,65.6,-15.17,-8.42,-0.61
1969,3,34.6,-10.67,-2.81,-0.74
1969,4,13,-2.38,4.79,-1.61
1969,5,97.6,3.14,9.73,-0.82
1969,6,115.2,5.76,11.62,2.09
1969,7,94.9,11.88,18.01,2.22
1969,8,136.8,11.32,16.17,2.72
1969,9,70.7,8.59,16.49,1.69
1969,10,88.8,2.86,10.29,1.83
1969,11,50.5,-4.11,3.02,1.37
1969,12,64.6,-11.92,-6,1.52
1970,1,87,-14.09,-7.55,2.57
1970,2,75.6,-13.47,-6.52,3.54
1970,3,89.2,-12.47,-4.68,4.7
1970,4,26.2,-2.34,5.16,3.47
1970,5,91.7,4.21,12.96,3.68
1970,6,80.5,7.5,13.56,3.89
1970,7,70.5,12.68,18.21,3.54
1970,8,85.3,13.06,19.27,2.58
1970,9,145.6,9.53,17.19,3.22
1970,10,74.3,3.13,11.33,2.63
1970,11,71.9,-2.38,4.68,2.42
1970,12,47.2,-10.05,-3.94,1.95
1971,1,31.9,-13.66,-7.02,1.29
1971,2,43.8,-13.06,-5.59,1.39
1971,3,38.9,-8.07,-1.81,1.19
1971,4,34.1,-1.64,5.06,-1.17
1971,5,57.9,2.68,9.36,-1.06
1971,6,92,6.6,13.09,0.73
1971,7,98.4,11.25,16.01,1.4
1971,8,157.6,11.52,17.2,2.26
1971,9,89.2,8.66,14.75,2.08
1971,10,117.5,4.4,11.96,2.82
1971,11,30.4,-3.02,3.52,1.6
1971,12,52.7,-8.69,-2.07,1.38
1972,1,25.2,-14.03,-6.92,0.58
1972,2,77.7,-12.47,-5.32,1.82
1972,3,19.3,-6.9,-0.21,0.95
1972,4,49.7,-1.01,6.42,-1.15
1972,5,106.4,4.27,12.03,0.8
1972,6,76,7.7,13.99,1.13
1972,7,146.2,12.21,17.64,2.63
1972,8,129.5,13.15,20.3,2.57
1972,9,152.2,9.53,16.28,3.67
1972,10,119.9,5.13,11.82,4.21
1972,11,93.9,-3.35,2.45,4.7
1972,12,76.2,-7.79,-1.47,4.86
1973,1,27.2,-12.54,-6.38,3.75
1973,2,48.5,-13.17,-6.08,3.75
1973,3,34.4,-10.47,-2.98,3.16
1973,4,91.8,-1.24,4.86,3.66
1973,5,78.2,3.61,10.7,3.52
1973,6,20.5,7.36,13.76,2.18
1973,7,121.7,12.15,17.14,2.59
1973,8,109.1,14.58,20.34,2.07
1973,9,50,9.83,17.45,1.01
1973,10,90.9,3.66,10.66,0.86
1973,11,65.4,-2.85,3.75,0.77
1973,12,86,-8.35,-2.17,1.62
1974,1,55.8,-9.09,-4.21,1.72
1974,2,26.7,-12,-5.35,1.23
1974,3,29.3,-9.64,-2.28,0.74
1974,4,71,-1.28,4.49,1.06
1974,5,51.5,3.31,10.3,0.65
1974,6,92.5,6.9,11.72,1.2
1974,7,22.4,11.88,17.54,-0.76
1974,8,80,13.82,18.91,-1.28
1974,9,130.7,10.16,16.93,-0.95
1974,10,163,3.73,10.96,2.11
1974,11,68.7,-4.18,2.36,2.13
1974,12,42.6,-11.99,-6.07,1.56
1975,1,80.8,-11.36,-5.85,2.42
1975,2,26.8,-13.5,-7.02,1.87
1975,3,43.7,-8.53,-1.68,1.76
1975,4,55.3,-1.34,4.56,1.66
1975,5,44.5,3.14,9.36,1.13
1975,6,87.2,8.7,13.89,1.75
1975,7,74.3,12.51,17.02,1.56
1975,8,79.3,14.52,21.04,0.75
1975,9,71.3,10.29,17.35,-1.41
1975,10,61.2,3.43,10.83,-2.03
1975,11,52.6,-2.38,5.15,-2.43
1975,12,33.2,-10.34,-3.8,-2.81
1976,1,47.3,-11.96,-6.22,-2.51
1976,2,27.9,-11.1,-4.31,-2.52
1976,3,20.6,-8.27,-1.51,-2.91
1976,4,38.1,-1.64,4.46,-2.98
1976,5,50.7,3.78,11.86,-3.17
1976,6,56,6.93,12.52,-2.96
1976,7,86.5,11.98,19.14,-2.89
1976,8,46,11.79,17.47,-3.68
1976,9,47.8,9.03,15.65,-4.59
1976,10,105,3.43,10.69,-4.69
1976,11,70.8,-4.25,1.55,-3.96
1976,12,73.6,-8.44,-2.57,-2.98
1977,1,24,-16.73,-10.29,-3.38
1977,2,28.1,-16.33,-8.35,-3.29
1977,3,34.7,-8.84,-2.01,-3.15
1977,4,47.6,-1.74,3.76,-2.8
1977,5,93.1,2.98,9.73,-1.72
1977,6,104.5,6.9,12.39,1.93
1977,7,60.7,13.01,18.51,1.47
1977,8,25.5,12.62,18.98,-1.52
1977,9,89.3,10.06,17.56,-2.09
1977,10,48.9,3.06,12.03,-3.11
1977,11,57.7,-1.98,4.49,-4.43
1977,12,44,-9.05,-2.24,-4.28
1978,1,27.6,-15.7,-9.05,-4.43
1978,2,19.8,-17.4,-10.15,-4.5
1978,3,42.1,-9.2,-1.45,-4
1978,4,54.9,-1.47,4.09,-3.45
1978,5,54.4,3.84,11.4,-3.57
1978,6,46.1,8.49,15.39,-3.71
1978,7,136.3,14.81,21.49,-2.65
1978,8,258.7,14.75,20.74,3.21
1978,9,56.3,9.7,17.42,2
1978,10,52.2,2.93,9.96,0.9
1978,11,25.9,-2.95,3.45,-2.79
1978,12,26.9,-9.31,-2.31,-3.31
1979,1,33.8,-15.3,-9.18,-3.37
1979,2,52.9,-12.04,-5.02,-2.51
