year,month,Prec,Tmin,Tmax,PDSI
2010,9,123.6,10.99,18.55,3.92
2010,10,61.9,4.63,11.49,3.25
2010,11,83.3,-0.98,5.35,3.07
2010,12,79.4,-6.18,0.03,3.49
2011,1,57.5,-11.26,-6.31,3.45
2011,2,27.3,-10.67,-3.25,2.8
2011,3,22.8,-7.94,-1.18,1.94
2011,4,82.7,-0.94,4.89,2.34
2011,5,85.4,2.41,8.43,2.85
2011,6,106.6,7.83,13.82,3.74
2011,7,54.7,13.11,18.81,2.99
2011,8,80.7,14.62,20.71,2.08
2011,9,168.9,11.59,18.22,3.09
2011,10,88.6,5.03,12.56,2.9
2011,11,42.8,-0.61,5.72,1.46
2011,12,92.1,-8.44,-2.37,2.42
2012,1,61,-12.56,-6.51,2.59
2012,2,34.9,-15.31,-8.45,2.28
2012,3,42.3,-9.81,-2.68,2.09
2012,4,58.7,-1.37,4.86,1.89
2012,5,61.4,4.28,10.26,1.81
2012,6,40.3,7.3,13.63,1.17
2012,7,94.8,12.91,17.97,1.19
2012,8,140.5,14.22,20.34,1.37
2012,9,127.8,12.26,18.32,2.06
2012,10,109.3,5.46,12.09,2.53
2012,11,101.3,-1.11,4.22,3.15
2012,12,106.2,-9.44,-3.03,4.36
2013,1,47.6,-13.7,-7.75,3.93
2013,2,43.3,-12.77,-5.95,3.74
2013,3,58,-8.64,-1.58,3.89
2013,4,106.6,-0.91,4.32,4.89
2013,5,48.6,3.05,8.73,4.28
2013,6,47.2,8.57,14.83,3.55
2013,7,24.3,14.38,19.94,1.67
2013,8,181.5,14.66,19.51,2.44
2013,9,101.3,10.83,17.85,2.3
2013,10,99.1,5.03,12.09,2.5
2013,11,107.4,-0.48,5.65,3.03
2013,12,80.1,-5.21,-0.13,3.48
2014,1,54.9,-13.97,-7.35,3.36
2014,2,42.3,-11.5,-5.05,3.2
2014,3,27,-7.9,-1.51,2.43
2014,4,47,-1.54,5.42,1.61
2014,5,85.8,3.81,11.03,2.04
2014,6,132.4,9.13,14.89,3.53
2014,7,89.7,13.51,18.67,3.31
2014,8,126.6,14.39,19.94,3.26
2014,9,98,9.8,17.33,3.03
2014,10,80,3.76,11.33,2.6
2014,11,43,-1.18,5.55,1.35
2014,12,79.1,-7.94,-1.77,1.94
2015,1,80.5,-10.26,-4.51,2.75
2015,2,41,-8.03,-2.67,2.61
2015,3,74,-4,1.69,3.34
2015,4,46.6,-0.28,6.15,2.27
2015,5,98.8,4.51,12.19,2.61
2015,6,118.7,7.36,12.65,3.86
2015,7,132.3,12.71,18.51,4.58
2015,8,75.3,13.09,18.64,3.48
2015,9,74.1,10.46,17.19,2.73
2015,10,164.4,3.66,10.99,4.26
2015,11,46.9,-1.98,4.22,3.18
2015,12,39.4,-7.08,-1,2.41
2016,1,41.9,-12.8,-6.8,2
2016,2,49.2,-13.2,-5.8,2.2
2016,3,40.5,-7.3,-0.2,1.9
2016,4,62.5,-1.1,5,1.8
2016,5,70.1,5.3,13.7,1.1
2016,6,102.1,7.6,12.8,1.8
2016,7,101.6,12.8,17.6,2.1
2016,8,183.6,15.4,20.8,3.3
2016,9,141,10.2,17,4
2016,10,79.5,2.5,9.8,3.3
2016,11,72.4,-5.8,0.7,3.4
2016,12,37.4,-9.9,-2.8,2.6
2017,1,45.7,-12,-5.8,2.2
2017,2,30.3,-10.4,-4.1,1.8
2017,3,26.1,-6.7,-0.8,1.2
2017,4,59.2,-1,5.1,0.9
2017,5,33.5,4.8,12.2,-2.1
2017,6,103.5,6.9,12.6,-1.2
2017,7,105.6,13.6,19.6,-0.8
2017,8,42.5,13.4,18.1,-1.7
2017,9,101,9.5,17.2,-1.9
2017,10,81.3,2.8,10.6,-1.7
2017,11,87.2,-3.8,3.7,-0.8
2017,12,78.7,-9.4,-3,1.4
2018,1,52.4,-11.6,-5.8,1.4
2018,2,30.4,-14.1,-6.4,1.1
2018,3,58.5,-7.6,0.2,1.5
2018,4,27.2,-1,6.3,-1.1
2018,5,69,4.5,11.5,-1.3
2018,6,89,7.5,13.3,-0.7
2018,7,114.3,12,17.3,1.1
2018,8,110.9,12.7,18,1
2018,9,55.2,10.1,17.6,-0.9
2018,10,103.7,5.6,13.1,0.1
2018,11,46.2,-1,5.4,-1.5
2018,12,43.4,-8.2,-1.9,-1.7
2019,1,19.2,-11.1,-4.9,-2.4
2019,2,24.8,-12.1,-5.1,-2.5
2019,3,43.3,-6.7,0.1,-2.2
2019,4,20.3,-0.8,5.5,-3.1
2019,5,47,7.1,14.1,-4
2019,6,78.1,9.1,14.8,-3.7
2019,7,115.2,13.4,18.7,-3.1
2019,8,143.8,13.3,19,-2.3
2019,9,32.9,11.3,18.2,-3.4
2019,10,58.9,5.7,13,-4
2019,11,43.6,-3.2,3.5,-5
2019,12,40,-9.1,-2.8,-4.9
2020,1,24.6,-11.1,-4.8,-5.05
2020,2,35.4,-12.2,-5.3,-4.56
2020,3,71,-5.8,0.9,-3.14
2020,4,55.4,-1,5.3,-3.11
2020,5,59.1,5,11.9,-3.12
2020,6,71.1,9,14.6,-2.77
2020,7,44.4,13.3,18.4,-3.45
2020,8,201.7,13.9,19.4,-1.82
2020,9,71.1,11.4,18.3,-2.32
2020,10,131.6,6.1,13.4,-1.15
2020,11,64.7,-1.8,4.8,-1.37
2020,12,23.5,-9.9,-3.6,-2.15
