,filename,length,width,area,perimiter
120,./data/led_rotaded/output_Download (79).TPS_1,1.7574714975854562,1.2076228011983692,1.4743080822706365,4.548953537253793
121,./data/led_rotaded/output_Download (79).TPS_2,1.451507021160397,0.7000034139287787,0.7293956452119457,3.4384177848384283
122,./data/led_rotaded/output_Download (79).TPS_3,1.5164149164261038,0.9908494868748662,1.083517144111642,3.8956344507654346
123,./data/led_rotaded/output_Download (79).TPS_4,1.6636380492882985,1.1571432375039494,1.406587828397205,4.398895075652362
124,./data/led_rotaded/output_Download (9).TPS_0,1.8691249832084644,0.9890343829688711,1.307661492750124,4.502469597146177
125,./data/led_rotaded/output_Download (9).TPS_1,1.9886606123912474,1.0181665816753624,1.4119963224934022,4.729346216337203
126,./data/led_rotaded/output_Download (9).TPS_2,1.5089035666787387,0.7606506339539646,0.8158149939423166,3.600656875889472
127,./data/led_rotaded/output_Download (9).TPS_3,2.40150396646344,1.2066700532515744,2.081712301927121,5.7078362662342705
128,./data/led_rotaded/output_Download (9).TPS_4,1.460178799171946,0.7887706044430267,0.8420457832722024,3.5794382524670487
129,./data/led_rotaded/output_DSC03915.TPS_0,1.9886910279265908,1.2575206857233976,1.837872184769919,5.0698633222643155
130,./data/led_rotaded/output_DSC03915.TPS_1,1.9872081442484237,1.218071748709991,1.83805965034921,5.072953090042472
131,./data/led_rotaded/output_DSC03915.TPS_2,1.648491411200499,0.9629451280454603,1.1601830518565852,4.0911777917437835
132,./data/led_rotaded/output_DSC03915.TPS_3,1.8877694953446822,1.100856458146421,1.573634892062561,4.735422074124081
133,./data/led_rotaded/output_DSC03915.TPS_4,2.164273323060372,1.507783169230751,2.351535523858189,5.6599546500496025
134,./data/led_rotaded/output_DSC04362.TPS_0,2.3908469023739762,1.4349337986118573,2.498844233637302,5.966109960383378
135,./data/led_rotaded/output_DSC04362.TPS_1,1.925484877982009,1.1200116753903484,1.6265209341155298,4.813411966915888
136,./data/led_rotaded/output_DSC04362.TPS_2,1.8865595446460488,1.1911705173632445,1.643603840876432,4.786182457232256
137,./data/led_rotaded/output_DSC04362.TPS_3,1.9711943393919906,1.1882460978026903,1.7339725908433372,4.94474828321014
138,./data/led_rotaded/output_DSC04362.TPS_4,2.597321009252898,1.4463647307889929,2.848200387556883,6.406108390692393
139,./data/led_rotaded/output_DSC04367.tps_0,1.4728303170179577,0.7247814897855978,0.7537698189816893,3.451127651350574
140,./data/led_rotaded/output_DSC04367.tps_1,1.2627537033698673,0.6605144139190271,0.6135759505689332,3.0439565856891546
141,./data/led_rotaded/output_DSC04367.tps_2,1.4187952325463862,0.6451030324784008,0.6616571113245668,3.2829247704943607
142,./data/led_rotaded/output_DSC04367.tps_3,1.5178134671282852,0.6900712596042551,0.7840398212698763,3.5478131632168455
143,./data/led_rotaded/output_DSC04367.tps_4,1.3590358796682684,0.7152766488039765,0.7006683708831776,3.2616653231052357
144,./data/led_rotaded/output_DSC04370.tps_0,1.3345076986284972,0.9027052889213715,0.8979901114281942,3.5081250222562383
145,./data/led_rotaded/output_DSC04370.tps_1,1.4825670202780619,0.795679301176078,0.8771069631922093,3.608981613251903
146,./data/led_rotaded/output_DSC04370.tps_2,1.4291916733695937,0.8147192119417526,0.8326990731392954,3.494904731349542
147,./data/led_rotaded/output_DSC04370.tps_3,1.5484636480016714,1.1571732191023116,1.327640152429315,4.20530970779381
148,./data/led_rotaded/output_DSC04370.tps_4,1.738133693699799,1.0243690221632287,1.3340833992151269,4.347042985834472
149,./data/led_rotaded/output_DSC04373.tps_0,1.2908628883675652,0.8668880969393642,0.8264951659733057,3.3629088277086905
150,./data/led_rotaded/output_DSC04373.tps_1,1.6250602244956744,0.8986061127434508,1.0614289162333925,3.9499904397859273
151,./data/led_rotaded/output_DSC04373.tps_2,1.732535451470094,0.889783089897908,1.1745392156229557,4.1873849245050545
152,./data/led_rotaded/output_DSC04373.tps_3,1.7610000378943087,0.9606799199885291,1.2364760871925284,4.26713202775923
153,./data/led_rotaded/output_DSC04373.tps_4,1.5624351289773624,0.864626812184072,0.9998369820289675,3.829295756278957
154,./data/led_rotaded/output_DSC04382.tps_0,1.4451138080424912,0.8928529864310053,0.9794817916637197,3.699356840320474
155,./data/led_rotaded/output_DSC04382.tps_1,1.667319382113178,1.0941344915553217,1.4180821683458333,4.3838216205132685
156,./data/led_rotaded/output_DSC04382.tps_2,1.523047363258285,1.0481567979557855,1.2090226430415671,4.039434375619197
157,./data/led_rotaded/output_DSC04382.tps_3,1.5634155014669182,0.9298412848105401,1.1389937813706479,3.996361267126076
158,./data/led_rotaded/output_DSC04382.tps_4,1.6848129437599617,0.9652491803160975,1.2871263955786887,4.279841865284862
159,./data/led_rotaded/output_DSC04422.tps_0,1.727435263081014,1.0003156509707387,1.2941954581235793,4.308677817099319
160,./data/led_rotaded/output_DSC04422.tps_1,1.451245836380806,0.9067606529515495,0.9766291773024824,3.696926370653713
161,./data/led_rotaded/output_DSC04422.tps_2,1.4470446060968878,0.8661772649899876,0.9386699082089192,3.6508659855939105
162,./data/led_rotaded/output_DSC04422.tps_3,1.652581491421889,0.9823896372596534,1.2203166127345255,4.149906583363757
163,./data/led_rotaded/output_DSC04422.tps_4,1.4699603671318924,0.8580281968161748,0.9163003345664921,3.6275918769029896
164,./data/led_rotaded/output_DSC04425.TPS_0,1.7682417598066817,0.9173139488492736,1.1445858727070186,4.1830827395176176
165,./data/led_rotaded/output_DSC04425.TPS_1,2.473554985635957,1.2398006679177085,2.382492684671725,5.992130972126168
166,./data/led_rotaded/output_DSC04425.TPS_2,3.3272632757723297,1.4844206634938097,3.617770041984312,7.648898546117706
167,./data/led_rotaded/output_DSC04425.TPS_3,2.079350116147445,1.1383302815667613,1.6451600078612445,4.977856106928741
168,./data/led_rotaded/output_DSC04429.tps_0,2.2860045533564715,1.2478388338639594,2.0966004269951384,5.548608816970728
169,./data/led_rotaded/output_DSC04429.tps_1,1.943091869550063,0.9774427421226403,1.4458884187701238,4.685399809730714
170,./data/led_rotaded/output_DSC04429.tps_2,2.190607588150845,1.0285285090604426,1.689615040539827,5.171748298022475
171,./data/led_rotaded/output_DSC04429.tps_3,1.699593416733741,1.0441946524314942,1.3241779532229971,4.309625365607118
172,./data/led_rotaded/output_DSC04492.tps_0,1.9838162153561951,1.0755947245736566,1.520912815746791,4.762017066014322
